,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,20 W 53RD St #43,New York,NY,10019.0,19995000.0,4.0,4.5,Midtown Central,4545.0,2209.0,2019.0,11.0,4399.0,10493.0,Active,,,https://www.redfin.com/NY/New-York/20-W-53rd-St-10019/unit-43/home/114823864,REBNY,RPLU-5122398511,N,Y,40.7608057,-73.9773859
1,MLS Listing,,Condo/Co-op,20 W 53rd St Unit 22B,New York,NY,10103.0,3990000.0,1.0,1.0,Midtown Central,1203.0,17572.0,2014.0,38.0,3317.0,2350.0,Active,,,https://www.redfin.com/NY/New-York/20-W-53rd-St-10019/unit-22B/home/102004987,REBNY,RPLU-33422350531,N,Y,40.7608057,-73.9773859
2,MLS Listing,,Condo/Co-op,,New York,NY,10019.0,5400000.0,2.0,2.0,Midtown Central,1625.0,2209.0,2019.0,1471.0,3323.0,3549.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10019/home/105855238,REBNY,OLRS-1808425-1463538,N,Y,40.7608057,-73.9773859
3,MLS Listing,,Condo/Co-op,153 E 57th Unit 3B,New York,NY,10022.0,450000.0,1.0,1.0,Gotham Towne House,,,1959.0,130.0,,1146.0,Active,,,https://www.redfin.com/NY/New-York/153-E-57th-St-10022/unit-3B/home/45337954,OneKey,3434577,N,Y,40.7607016,-73.9680316
4,MLS Listing,,Condo/Co-op,153 E 57th St Unit 17B,New York,NY,10022.0,505000.0,0.0,1.0,Midtown Central,550.0,10041.0,1959.0,199.0,918.0,1255.0,Active,,,https://www.redfin.com/NY/New-York/153-E-57th-St-10022/unit-17B/home/180554490,REBNY,RPLU-33421902679,N,Y,40.7607016,-73.9680316
5,MLS Listing,,Condo/Co-op,30 Park Pl Unit 42C,New York,NY,10007.0,2750000.0,1.0,1.5,TriBeCa,1108.0,29497.0,2016.0,32.0,2482.0,2382.0,Active,,,https://www.redfin.com/NY/New-York/30-Park-Pl-10007/unit-42C/home/109653827,REBNY,RPLU-33422328259,N,Y,40.7129196,-74.0088627
6,MLS Listing,,Condo/Co-op,30 Park Pl Unit 58D,New York,NY,10007.0,4550000.0,2.0,2.0,TriBeCa,1538.0,29497.0,2016.0,58.0,2958.0,3417.0,Active,,,https://www.redfin.com/NY/New-York/30-Park-Pl-10007/unit-58D/home/109653806,REBNY,RPLU-33422296275,N,Y,40.7129196,-74.0088627
7,MLS Listing,,Condo/Co-op,30 Park Pl Unit 60C,New York,NY,10007.0,4199000.0,2.0,2.5,TriBeCa,1543.0,29497.0,2016.0,458.0,2721.0,3495.0,Active,,,https://www.redfin.com/NY/New-York/30-Park-Pl-10007/unit-60C/home/109653604,REBNY,RPLU-3346130942,N,Y,40.7129196,-74.0088627
8,MLS Listing,,Condo/Co-op,30 Park Pl Unit 41A,New York,NY,10007.0,5350000.0,3.0,3.5,TriBeCa,2219.0,29497.0,2016.0,619.0,2411.0,4104.0,Active,,,https://www.redfin.com/NY/New-York/30-Park-Pl-10007/unit-41A/home/109653807,REBNY,RPLU-5121230060,N,Y,40.7129196,-74.0088627
9,MLS Listing,,Condo/Co-op,333 E 119th St Unit 1-K,New York,NY,10035.0,620000.0,2.0,2.0,East Harlem,990.0,30644.0,2005.0,2.0,626.0,1160.0,Active,,,https://www.redfin.com/NY/New-York/333-E-119th-St-10035/unit-1K/home/45163318,REBNY,OLRS-00011885918,N,Y,40.7986288,-73.9351095
10,MLS Listing,,Condo/Co-op,1825 Madison Ave Unit 7K,New York,NY,10035.0,625000.0,2.0,2.0,East Harlem,,17592.0,2004.0,2.0,,1148.0,Active,April-23-2023 02:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/1825-Madison-Ave-10035/unit-7K/home/45169086,REBNY,RPLU-33422398385,N,Y,40.8014385,-73.9434676
11,MLS Listing,,Condo/Co-op,333 E 119th St Unit 4K,New York,NY,10035.0,589900.0,2.0,1.5,New York,950.0,,,4.0,621.0,,Active,April-22-2023 01:30 AM,April-22-2023 03:00 PM,https://www.redfin.com/NY/New-York/333-E-119th-St-10035/unit-4K/home/45163287,BNYMLS,473309,N,Y,40.7986288,-73.9351095
12,MLS Listing,,Multi-Family (2-4 Unit),1991 Madison Ave,New York,NY,10035.0,2850000.0,0.0,,New York,4408.0,1442.0,1930.0,10.0,647.0,,Active,,,https://www.redfin.com/NY/New-York/1991-Madison-Ave-10035/home/45299820,OneKey,H6242111,N,Y,40.8068297,-73.9395232
13,MLS Listing,,Condo/Co-op,207 E 120th St Unit 3F,New York,NY,10035.0,820000.0,2.0,1.0,N/A,900.0,,1924.0,19.0,911.0,520.0,Active,,,https://www.redfin.com/NY/New-York/207-E-120th-St-10035/unit-3F/home/45227448,OneKey,H6240356,N,Y,40.8004182,-73.9375206
14,MLS Listing,,Multi-Family (2-4 Unit),23 E 127th St,New York,NY,10035.0,3795000.0,4.0,4.5,East Harlem,,1873.0,1910.0,22.0,,,Active,April-23-2023 01:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/23-E-127th-St-10035/home/45299852,REBNY,RPLU-33422381625,N,Y,40.8074204,-73.9401951
15,MLS Listing,,Multi-Family (2-4 Unit),2007 5th Ave,New York,NY,10035.0,3299000.0,4.0,5.0,New York,3816.0,1440.0,1909.0,25.0,865.0,,Active,,,https://www.redfin.com/NY/New-York/2007-5th-Ave-10035/home/45299324,OneKey,3467330,N,Y,40.8058923,-73.9423885
16,MLS Listing,,Condo/Co-op,435 E 117th St #3,New York,NY,10035.0,879999.0,2.0,2.0,Leah Condominiums,1278.0,2522.0,2006.0,25.0,689.0,16.0,Active,April-23-2023 02:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/435-E-117th-St-10035/unit-3/home/45227182,OneKey,H6239704,N,Y,40.7962956,-73.9334096
17,MLS Listing,,Vacant Land,24 E 130st St,New York,NY,10037.0,850000.0,,,New York,,1664.0,,27.0,,,Active,,,https://www.redfin.com/NY/New-York/24-E-130th-St-10037/home/45299911,OneKey,H6239476,N,Y,40.8089102,-73.9389536
18,MLS Listing,,Condo/Co-op,302 E 119th St Unit 1-C,New York,NY,10035.0,260000.0,1.0,1.0,East Harlem,,3042.0,1910.0,31.0,,605.0,Active,,,https://www.redfin.com/NY/New-York/302-E-119th-St-10035/unit-1C/home/109997392,REBNY,OLRS-1989106,N,Y,40.7986665,-73.936051
19,MLS Listing,,Condo/Co-op,152 E 118th St Unit 4-F,New York,NY,10035.0,325000.0,0.0,1.0,East Harlem,470.0,11808.0,2010.0,34.0,691.0,598.0,Active,April-23-2023 02:30 PM,April-23-2023 03:30 PM,https://www.redfin.com/NY/New-York/152-E-118th-St-10035/unit-4F/home/45337989,REBNY,OLRS-1094605,N,Y,40.7995607,-73.940299
20,MLS Listing,,Multi-Family (2-4 Unit),341 E 116th St,New York,NY,10029.0,2495000.0,6.0,6.0,East Harlem,4625.0,2220.0,1900.0,35.0,539.0,,Active,,,https://www.redfin.com/NY/New-York/341-E-116th-St-10029/home/45298760,REBNY,PRCH-7516172,N,Y,40.7965238,-73.936163
21,MLS Listing,,Condo/Co-op,1831 Madison Ave Unit 8D,New York,NY,10035.0,725000.0,2.0,2.0,East Harlem,946.0,17660.0,2002.0,39.0,766.0,1313.0,Active,,,https://www.redfin.com/NY/New-York/1831-Madison-Ave-10035/unit-8D/home/45333774,REBNY,RPLU-33422328090,N,Y,40.8021443,-73.9430084
22,MLS Listing,,Condo/Co-op,1831 Madison Ave Unit 6M,New York,NY,10035.0,825000.0,3.0,2.0,East Harlem,,17660.0,2002.0,45.0,,1003.0,Active,,,https://www.redfin.com/NY/New-York/1831-Madison-Ave-10035/unit-6M/home/111244116,REBNY,RPLU-33422335092,N,Y,40.8021443,-73.9430084
23,MLS Listing,,Multi-Family (2-4 Unit),56 E 127th St,New York,NY,10035.0,2650000.0,4.0,4.0,East Harlem,3400.0,1292.0,1905.0,50.0,779.0,,Active,,,https://www.redfin.com/NY/New-York/56-E-127th-St-10035/home/45299843,REBNY,OLRS-00010023946,N,Y,40.8067316,-73.9394149
24,MLS Listing,,Condo/Co-op,159 E 118th St Unit 3B,New York,NY,10035.0,680000.0,1.0,1.0,East Harlem,630.0,2523.0,1954.0,56.0,1079.0,360.0,Active,April-22-2023 12:00 PM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/159-E-118th-St-10035/unit-3B/home/180568832,REBNY,RPLU-33422316125,N,Y,40.7998267,-73.9398826
25,MLS Listing,,Condo/Co-op,1825 Madison Ave Unit 8J,New York,NY,10035.0,850000.0,3.0,2.0,East Harlem,,17592.0,2004.0,58.0,,2534.0,Active,,,https://www.redfin.com/NY/New-York/1825-Madison-Ave-10035/unit-8J/home/45169098,REBNY,RPLU-33422285994,N,Y,40.8014385,-73.9434676
26,MLS Listing,,Multi-Family (2-4 Unit),2296 E 2nd Ave,New York,NY,10035.0,3980000.0,12.0,4.5,New York,4492.0,1532.0,1900.0,65.0,886.0,,Active,,,https://www.redfin.com/NY/New-York/2296-2nd-Ave-10035/home/167170041,OneKey,3458872,N,Y,40.798087,-73.936622
27,MLS Listing,,Multi-Family (2-4 Unit),502 E 118th St,New York,NY,10035.0,4500000.0,4.0,3.0,East Harlem,5298.0,3537.0,1899.0,66.0,849.0,,Active,,,https://www.redfin.com/NY/New-York/502-E-118th-St-10035/home/45298972,REBNY,RPLU-33422270259,N,Y,40.7960065,-73.9317915
28,MLS Listing,,Condo/Co-op,159 E 118th St Unit 1A,New York,NY,10035.0,475000.0,0.0,1.0,East Harlem,455.0,2523.0,1954.0,66.0,1044.0,246.0,Active,April-22-2023 12:00 PM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/159-E-118th-St-10035/unit-1A/home/184266144,REBNY,RPLU-33422289961,N,Y,40.7998267,-73.9398826
29,MLS Listing,,Townhouse,1989 Madison Ave,New York,NY,10035.0,3495000.0,6.0,4.0,East Harlem,4270.0,1444.0,1980.0,80.0,819.0,,Active,,,https://www.redfin.com/NY/New-York/1989-Madison-Ave-10035/home/45299821,REBNY,RPLU-33422246859,N,Y,40.8067977,-73.9395412
30,MLS Listing,,Condo/Co-op,333 E 119th St Unit 4J,New York,NY,10035.0,580000.0,2.0,2.0,The Palm/ Rio Coops,1047.0,,2005.0,95.0,554.0,1233.0,Active,April-22-2023 12:00 PM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/333-E-119th-St-10035/unit-4J/home/45163294,OneKey,H6227048,N,Y,40.7986288,-73.9351095
31,MLS Listing,,Condo/Co-op,54 E 129th St Unit 6B,New York,NY,10035.0,600000.0,4.0,1.0,East Harlem,,4996.0,1920.0,96.0,,759.0,Active,,,https://www.redfin.com/NY/New-York/54-E-129th-St-10035/unit-6B/home/45335020,REBNY,RLMX-86357,N,Y,40.807789,-73.938228
